Stephen, Hawking, 8 stycznia, Eleine, Frank, Oksford
Adam, Mickiewicz, 24 grudnia, Maria, Władysław, Zaosie
Juliusz, Słowacki, 4 września, Salomea, Euzebiusz, Krzemieniec
Elon, Musk, 28 czerwca, Maye, Errol, Pretoria
Angelina, Jolie, 4 czerwca, Marcheline, Jon, Los Angeles
Cristiano, Ronaldo, 5 luty, Dolores, Jose, Funchal
Albert, Einstein, 14 marca, Pauline, Hermann, Ulm
Maria, Skłodowska-Curie, 7 listopada, Bronisława, Własysław, Warszawa
Barack, Obama, 4 sierpnia, Ann, Barack, Honolulu
Isaac, Newton, 25 grudnia, Hannah, Isaac, Woolsthorpe-by-Colsterworth
Mariusz, Pudzianowski, 7 luty, Maria, Wojciech, Biała Rawska
Leonardo, DiCaprio, 11 listopada 1974, Irmelin, George, Los Angeles
Bradd, Pitt, 18 grudnia, Jane, William, Shawnee
Pablo, Picasso, 25 października, María, José, Málaga
Lebron, James, 30 grudnia, Gloria, Anthony, Akron
Mikołaj, Kopernik, 19 lutego, Barbara, Mikołaj, Toruń
Jeff, Bezos, 12 stycznia, Jacklyn, Ted, Albuquerque, Nowy Meksyk
Vincent, van Gogh, 30 marca, Anna, Teodor, Zundert
Donald, Tusk, 22 kwietnia, Ewa, Donald, Gdańsk
Fryderyk, Chopin, 1 marca, Justyna, Mikołaj, Żelazowa Wola
